,HIGHDEG,INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,LOCALE,UGDS,ADM_RATE,C150_4,SAT_AVG,UGDS_BLACK,UGDS_WHITE,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,RELAFFIL,COSTT4_A,PCTPELL,PCTFLOAN
36,3,Alaska Bible College,Palmer,AK,61.59843,-149.111341,32,27,""" """,""" """,""" """,0,0.8519,0.037,0,0.0741,88,15990,0.3571,0.2857
37,4,University of Alaska Fairbanks,Fairbanks,AK,64.856483,-147.822943,23,5536,""" """,0.3224,""" """,0.021,0.4259,0.0522,0.0126,0.1284,-2,15340,0.2263,0.255
38,4,University of Alaska Southeast,Juneau,AK,58.38427,-134.636346,33,1428,""" """,0.1688,""" """,0.0119,0.4748,0.0623,0.0357,0.1029,-2,15284,0.1769,0.1996
39,4,Alaska Pacific University,Anchorage,AK,61.191235,-149.804242,11,275,0.4207,0.6,1054,0.0291,0.5309,0.0364,0.0255,0.1855,71,42640,0.3152,0.5297
40,3,Charter College-Anchorage,Anchorage,AK,61.195786,-149.840178,11,3256,""" """,0.4582,""" """,0.0599,0.4373,0.3093,0.0123,0.0405,-2,30854,0.8307,0.7503
41,3,Everest College-Phoenix,Phoenix,AZ,33.580985,-112.113845,11,4102,""" """,0.3032,""" """,0.4405,0.3162,0.0763,0.0017,0.0207,""" """,26404,0.8291,0.7151
42,3,Collins College,Phoenix,AZ,33.40334,-111.98646,11,83,""" """,0.4305,""" """,0.0843,0.3253,0.1566,0,0.0241,-2,""" """,0.7205,0.8228
43,4,Thunderbird School of Global Management,Glendale,AZ,33.620887,-112.180861,21,1,""" """,""" """,""" """,0,0,1,0,0,-2,""" """,0,0
44,3,American Indian College Inc,Phoenix,AZ,33.577738,-112.092247,11,89,""" """,0.1765,""" """,0.0562,0.0449,0.1461,0.0225,0.6854,27,23387,0.75,0.5375
45,3,Carrington College-Phoenix,Phoenix,AZ,33.560821,-112.115546,11,617,0.9904,""" """,""" """,0.0616,0.2674,0.5754,0.0113,0.0713,-2,""" """,0.7287,0.4754
46,3,CollegeAmerica-Flagstaff,Flagstaff,AZ,35.194607,-111.65739,13,176,""" """,0.4641,""" """,0.0114,0.1989,0.125,0,0.6307,-2,28692,0.8732,0.8592
47,4,Brookline College-Phoenix,Phoenix,AZ,33.525384,-112.15007,11,1357,""" """,0.4705,""" """,0.199,0.3478,0.3088,0.0214,0.0575,-2,""" """,0.687,0.6783
